Method,#Tree,Max_Depth,Mean_Acc,Mean_Time
brf,5,5,0.8995655951346654,0.09843542575836181
brf,5,10,0.9092093831450911,0.11249780654907227
brf,5,15,0.911120764552563,0.10781004428863525
brf,5,20,0.9107732406602954,0.12031009197235107
brf,5,25,0.9070373588184187,0.10781042575836182
brf,5,30,0.9060816681146828,0.1218724250793457
brf,5,35,0.9044309296264117,0.12812225818634032
brf,5,40,0.9061685490877498,0.11718506813049316
brf,5,45,0.8975673327541267,0.11249783039093017
brf,5,50,0.9079061685490876,0.1187476396560669
brf,10,5,0.9113814074717637,0.26249430179595945
brf,10,10,0.9205907906168548,0.2953064441680908
brf,10,15,0.923892267593397,0.3062436580657959
brf,10,20,0.9233709817549955,0.30624358654022216
brf,10,25,0.9242397914856646,0.30624368190765383
brf,10,30,0.923892267593397,0.29374377727508544
brf,10,35,0.9199826238053866,0.2999934911727905
brf,10,40,0.9243266724587315,0.295306134223938
brf,10,45,0.9231972198088616,0.2812443017959595
brf,10,50,0.9199826238053866,0.3171809911727905
brf,15,5,0.9143353605560381,0.48280227184295654
brf,15,10,0.9270199826238056,0.47655251026153567
brf,15,15,0.9292788879235448,0.4828026294708252
brf,15,20,0.9289313640312772,0.5281141042709351
brf,15,25,0.9338835794960904,0.5093642711639405
brf,15,30,0.9305821025195481,0.5078016996383667
brf,15,35,0.9357080799304951,0.4749903202056885
brf,15,40,0.930060816681147,0.484364914894104
brf,15,45,0.9287576020851434,0.4843649387359619
brf,15,50,0.9336229365768898,0.4823405027389526
brf,20,5,0.9098175499565594,0.6424437999725342
brf,20,10,0.9258905299739357,0.6546741485595703
brf,20,15,0.9313640312771504,0.67186119556427
brf,20,20,0.9332754126846222,0.6906105518341065
brf,20,25,0.9319721980886184,0.710755729675293
brf,20,30,0.9311033883579498,0.6723906040191651
brf,20,35,0.9349261511728931,0.6610133409500122
brf,20,40,0.9361424847958297,0.6617597579956055
brf,20,45,0.9319721980886186,0.6663101434707641
brf,20,50,0.9310165073848827,0.6736043691635132
brf,25,5,0.9131190269331017,0.814346194267273
brf,25,10,0.930755864465682,0.8499917268753052
brf,25,15,0.9338835794960902,0.8768458604812622
brf,25,20,0.9347523892267594,0.91379234790802
brf,25,25,0.9338835794960904,0.8844204664230346
brf,25,30,0.9348392701998263,0.9018179178237915
brf,25,35,0.9343179843614248,0.9042887926101685
brf,25,40,0.9359687228496959,0.9100354194641114
brf,25,45,0.9369244135534318,0.9020215511322022
brf,25,50,0.9384882710686361,0.9008896827697754
brf,30,5,0.9121633362293657,1.066111397743225
brf,30,10,0.9306689834926152,1.1057476997375488
brf,30,15,0.9336229365768898,1.1809263467788695
brf,30,20,0.9367506516072981,1.1949369668960572
brf,30,25,0.9346655082536923,1.1869885921478271
brf,30,30,0.9388357949609036,1.1844715356826783
brf,30,35,0.9344917463075586,1.2259178161621094
brf,30,40,0.9395308427454389,1.1902538061141967
brf,30,45,0.9365768896611643,1.186456274986267
brf,30,50,0.9364900086880974,1.2115940570831298
brf,35,5,0.9122502172024326,1.3551804780960084
brf,35,10,0.9321459600347524,1.4544177293777465
brf,35,15,0.9343179843614248,1.489081907272339
brf,35,20,0.9352736750651609,1.512824821472168
brf,35,25,0.9371850564726326,1.4813817024230957
brf,35,30,0.9381407471763685,1.5259388208389282
brf,35,35,0.9361424847958297,1.5490878343582153
brf,35,40,0.9364031277150305,1.51024169921875
brf,35,45,0.9365768896611643,1.5131385803222657
brf,35,50,0.9398783666377065,1.5341846704483033
brf,40,5,0.9129452649869678,1.6662778377532959
brf,40,10,0.9284969591659425,1.7774614095687866
brf,40,15,0.9367506516072979,1.8116626977920531
brf,40,20,0.9395308427454386,1.8601612329483033
brf,40,25,0.9374456993918331,1.8730401754379273
brf,40,30,0.9384013900955692,1.8972187280654906
brf,40,35,0.9389226759339705,1.8934915781021118
brf,40,40,0.9407471763683752,1.899831485748291
brf,40,45,0.9407471763683752,1.9054943323135376
brf,40,50,0.9377063423110339,1.8809177875518799
brf,45,5,0.9141615986099044,2.031234312057495
brf,45,10,0.9287576020851434,2.138684940338135
brf,45,15,0.9353605560382275,2.202981209754944
brf,45,20,0.9386620330147698,2.228069019317627
brf,45,25,0.9398783666377064,2.272868251800537
brf,45,30,0.9396177237185055,2.273576188087463
brf,45,35,0.9407471763683753,2.2858817100524904
brf,45,40,0.9389226759339705,2.3276610374450684
brf,45,45,0.9397046046915726,2.2881320476531983
brf,45,50,0.9390095569070374,2.282750201225281
brf,50,5,0.9145091225021721,2.4733919858932496
brf,50,10,0.9332754126846222,2.5335177898406984
brf,50,15,0.9351867940920939,2.610453152656555
brf,50,20,0.939443961772372,2.664490294456482
brf,50,25,0.9389226759339705,2.7164908170700075
brf,50,30,0.9383145091225021,2.7653815746307373
brf,50,35,0.9412684622067766,2.7617315292358398
brf,50,40,0.9384882710686361,2.739052391052246
brf,50,45,0.9390095569070374,2.7158530235290526
brf,50,50,0.938401390095569,2.7320947647094727
brf,55,5,0.9131190269331018,2.8757718086242674
brf,55,10,0.9324934839270199,3.0424145698547362
brf,55,15,0.936837532580365,3.1039029598236083
brf,55,20,0.9382276281494353,3.1748944997787474
brf,55,25,0.9395308427454386,3.229329800605774
brf,55,30,0.9403127715030408,3.2176353931427
brf,55,35,0.9388357949609036,3.234363484382629
brf,55,40,0.9384013900955692,3.240461564064026
brf,55,45,0.9398783666377064,3.403754997253418
brf,55,50,0.939270199826238,3.3356654405593873
brf,60,5,0.9140747176368376,3.406527614593506
brf,60,10,0.9344048653344919,3.527424931526184
brf,60,15,0.9364900086880972,3.6591376781463625
brf,60,20,0.9403127715030408,3.711306262016296
brf,60,25,0.9374456993918333,3.8023502588272096
brf,60,30,0.9403127715030408,3.7340338468551635
brf,60,35,0.9410078192875758,3.7873502731323243
brf,60,40,0.9405734144222416,3.80465772151947
brf,60,45,0.9398783666377064,3.818035697937012
brf,60,50,0.9421372719374457,3.8192387580871583
brf,65,5,0.9130321459600349,3.9559963226318358
brf,65,10,0.9344048653344919,4.165220904350281
brf,65,15,0.9363162467419635,4.269251465797424
brf,65,20,0.939357080799305,4.360548043251038
brf,65,25,0.9398783666377064,4.362077093124389
brf,65,30,0.9405734144222416,4.381274771690369
brf,65,35,0.941963509991312,4.419896817207336
brf,65,40,0.9413553431798437,4.451246833801269
brf,65,45,0.9406602953953085,4.415346670150757
brf,65,50,0.940139009556907,4.429882192611695
brf,70,5,0.9158123370981753,4.559927821159363
brf,70,10,0.931537793223284,4.777072858810425
brf,70,15,0.9396177237185057,4.907609486579895
brf,70,20,0.937619461337967,4.995643997192383
brf,70,25,0.9402258905299741,5.020462512969971
brf,70,30,0.9424847958297132,5.055184030532837
brf,70,35,0.9417897480451781,5.107373857498169
brf,70,40,0.9413553431798436,5.17634756565094
brf,70,45,0.9418766290182449,5.097381639480591
brf,70,50,0.9404865334491748,5.1189404964447025
brf,75,5,0.9164205039096437,5.245734906196594
brf,75,10,0.931537793223284,5.501842498779297
brf,75,15,0.9399652476107733,5.636907982826233
brf,75,20,0.9375325803649002,5.731630206108093
brf,75,25,0.9416159860990442,5.801880693435669
brf,75,30,0.9423979148566465,5.754804420471191
brf,75,35,0.9420503909643788,5.834880733489991
brf,75,40,0.9409209383145092,5.819162392616272
brf,75,45,0.9408340573414421,5.863485980033874
brf,75,50,0.9403127715030408,5.824668979644775
brf,80,5,0.9141615986099044,5.998520565032959
brf,80,10,0.9347523892267594,6.223411631584168
brf,80,15,0.938401390095569,6.319620609283447
brf,80,20,0.9396177237185055,6.459275412559509
brf,80,25,0.942745438748914,6.547350955009461
brf,80,30,0.9409209383145092,6.587564992904663
brf,80,35,0.9409209383145092,6.575042033195496
brf,80,40,0.9406602953953083,6.610459852218628
brf,80,45,0.9405734144222416,6.612824773788452
brf,80,50,0.9405734144222414,6.619486403465271
brf,85,5,0.9140747176368376,6.7006756067276
brf,85,10,0.9329278887923544,7.002654957771301
brf,85,15,0.9381407471763683,7.182728672027588
brf,85,20,0.9406602953953085,7.306906294822693
brf,85,25,0.9402258905299739,7.360766053199768
brf,85,30,0.9430060816681147,7.36942572593689
brf,85,35,0.9410947002606429,7.4010203838348385
brf,85,40,0.940139009556907,7.401809525489807
brf,85,45,0.9410947002606429,7.394630861282349
brf,85,50,0.9407471763683753,7.418162107467651
brf,90,5,0.915464813205908,7.559222412109375
brf,90,10,0.9323197219808863,7.923124051094055
brf,90,15,0.9409209383145092,7.973897409439087
brf,90,20,0.9413553431798436,8.137694907188415
brf,90,25,0.9403996524761078,8.256400895118713
brf,90,30,0.9397046046915726,8.241543698310853
brf,90,35,0.9425716768027801,8.299011850357056
brf,90,40,0.9406602953953083,8.278513193130493
brf,90,45,0.9398783666377062,8.327159738540649
brf,90,50,0.9414422241529105,8.284365773200989
brf,95,5,0.9132059079061685,8.410860729217529
brf,95,10,0.9324066029539531,8.765972328186034
brf,95,15,0.940139009556907,9.018661785125733
brf,95,20,0.9406602953953085,9.133421421051025
brf,95,25,0.9423979148566464,9.254466700553895
brf,95,30,0.941876629018245,9.218693232536316
brf,95,35,0.9410947002606431,9.379720902442932
brf,95,40,0.9416159860990444,9.595848751068115
brf,95,45,0.9400521285838401,9.326151156425476
brf,95,50,0.9420503909643788,9.348097848892213
brf,100,5,0.9139878366637706,9.34366180896759
brf,100,10,0.9340573414422242,9.841096758842468
brf,100,15,0.9389226759339705,9.954384016990662
